overall_rank,compound,overall_score,recommendation,validation_label,target_fit_label,kras_probability_active,kras_predicted_label,inference_mode,mutant_selectivity_label,mutant_selectivity_score,admet_label,admet_score,toxicity_label,toxicity_score,manufacturability_label,manufacturability_score,clinical_relevance_label,clinical_relevance_score,source_library,source_notes,smiles
1,72411788,0.836,Advance,Pass,Predicted KRAS-active,0.816364,1,trained_model,Best hypothesis: SOS1,0.82,ADMET suitable,0.826,Low risk,0.93,Complex synthesis,0.601,Relevant for KRAS-driven oncology,0.848,ZINC,lead-like screening candidate,CCc1nc2c(c(N3CC[C@H](COC)C3)n1)CCN(CC(=O)O)CC2
2,72408688,0.826,Advance,Pass,Predicted KRAS-active,0.774128,1,trained_model,Best hypothesis: SOS1,0.82,ADMET suitable,0.826,Low risk,0.93,Complex synthesis,0.601,Relevant for KRAS-driven oncology,0.838,ZINC,lead-like screening candidate,CCOCc1nc2c(c(N3CCC(O)CC3)n1)CCN(C(C)=O)CC2
4,72453647,0.812,Advance with review,Pass,Predicted KRAS-active,0.708761,1,trained_model,Best hypothesis: SOS1,0.82,ADMET suitable,0.837,Low risk,0.93,Complex synthesis,0.613,Relevant for KRAS-driven oncology,0.824,ZINC,lead-like screening candidate,COCCNc1nc2c(c(N3CCC[C@@H](CO)C3)n1)CCNCC2
5,72422287,0.808,Advance with review,Pass,Predicted KRAS-active,0.703673,1,trained_model,Best hypothesis: SOS1,0.82,ADMET suitable,0.826,Low risk,0.93,Complex synthesis,0.601,Relevant for KRAS-driven oncology,0.82,ZINC,lead-like screening candidate,CCNC(=O)[C@H]1CCN(c2nc(COCC)nc3c2CCNCC3)C1
