compound,expected_target,expected_activity,clinical_status,pubchem_cid,source_name,source_url,smiles,notes
Sotorasib,KRAS G12C,active,FDA-approved KRAS G12C inhibitor,137278711,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Sotorasib,C=CC(=O)N1CCN([C@H](C1)C)c1nc(=O)n(c2c1cc(F)c(n2)c1c(O)cccc1F)c1c(C)ccnc1C(C)C,Positive control for clinically validated KRAS G12C inhibition.
Adagrasib,KRAS G12C,active,FDA-approved KRAS G12C inhibitor,138611145,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Adagrasib,CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F,Positive control for clinically validated KRAS G12C inhibition.
Divarasib,KRAS G12C,active,Investigational KRAS G12C inhibitor,146624881,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Divarasib,C[C@H]1CN(CCN1C2=NC(=NC3=C(C(=C(C=C32)Cl)C4=C(C(=CC(=N4)N)C)C(F)(F)F)F)OC[C@@H]5CCCN5C)C(=O)C=C,Positive control for investigational KRAS G12C inhibition.
MRTX1133,KRAS G12D,active,Investigational KRAS G12D inhibitor,156124857,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/156124857,C#CC1=C(C=CC2=CC(=CC(=C21)C3=NC=C4C(=C3F)N=C(N=C4N5CC6CCC(C5)N6)OC[C@@]78CCCN7C[C@@H](C8)F)O)F,Positive control for investigational KRAS G12D inhibition.
