model,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,ef_1_percent,ef_5_percent
random_forest,0.916058,0.906642,0.971154,0.922374,0.922374,0.890909,0.946136,0.761801,0.980158,0.994756,1.251142,1.251142
xgboost,0.945255,0.897675,0.955357,0.977169,0.977169,0.818182,0.966140,0.824808,0.978414,0.994423,1.251142,1.251142
svm_rbf,0.941606,0.868161,0.939394,0.990868,0.990868,0.745455,0.964444,0.810832,0.957908,0.987484,1.251142,1.251142
logistic_regression,0.937956,0.899917,0.959091,0.963470,0.963470,0.836364,0.961276,0.805369,0.953176,0.985714,1.251142,1.251142
decision_tree,0.927007,0.886260,0.954338,0.954338,0.954338,0.818182,0.954338,0.772520,0.870901,0.947257,1.251142,1.251142
naive_bayes,0.813869,0.747406,0.903846,0.858447,0.858447,0.636364,0.880562,0.463489,0.774512,0.898820,1.251142,1.251142
dummy_most_frequent,0.799270,0.500000,0.799270,1.000000,1.000000,0.000000,0.888438,0.000000,0.500000,0.799270,1.251142,1.072407
